NB_RESSOURCES	46	Rien	Vierge	GisementGlace	GisementTitane	GisementSilicium	GisementFer	GisementOr	GisementAluminium	PoussiereRegolite	MineraiGlace	MineraiTitane	MineraiSilicium	MineraiFer	MineraiOr	MineraiAluminium	LingotRegolite	Eau	LingotTitane	LingotSilicium	LingotFer	LingotOr	LingotAluminium	Helium3	MateriauxConstruction	Puce	PuceLuxe	SatelliteFragile1	SatelliteFragile2	SatelliteFragile3	SatelliteRobuste1	SatelliteRobuste2	SatelliteRobuste3	GazHydrogene	GazOxygene	PeroxydeHydrogene	LiquideHydrogene	LiquideOxygene	Carburant1	Carburant2	VaisseauFragile1	VaisseauFragile2	VaisseauFragile3	VaisseauRobuste1	VaisseauRobuste2	VaisseauRobuste3	VaisseauLuxe
NB_TYPE_BATIMENT(AucuneStructure_indice_-1)	9	AucuneStructure	Pipeline	Marchand	Mine	Fonderie	Fabrique	Atelier	Cuve	ChantierSpatial																																					
Batiment_de_craft	RESSOURCE	Rien	Vierge	GisementGlace	GisementTitane	GisementSilicium	GisementFer	GisementOr	GisementAluminium	PoussiereRegolite	MineraiGlace	MineraiTitane	MineraiSilicium	MineraiFer	MineraiOr	MineraiAluminium	LingotRegolite	Eau	LingotTitane	LingotSilicium	LingotFer	LingotOr	LingotAluminium	Helium3	MateriauxConstruction	Puce	PuceLuxe	SatelliteFragile1	SatelliteFragile2	SatelliteFragile3	SatelliteRobuste1	SatelliteRobuste2	SatelliteRobuste3	GazHydrogene	GazOxygene	PeroxydeHydrogene	LiquideHydrogene	LiquideOxygene	Carburant1	Carburant2	VaisseauFragile1	VaisseauFragile2	VaisseauFragile3	VaisseauRobuste1	VaisseauRobuste2	VaisseauRobuste3	VaisseauLuxe
AucuneStructure	Rien	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	Vierge	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementGlace	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementTitane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementSilicium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementFer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementOr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AucuneStructure	GisementAluminium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mine	PoussiereRegolite	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
